Route ID,Origin Region,Destination Region,Vehicle Type,Service Level,Target Delivery (Days),Priority
RT413,Sarawak,East Coast,Sea Freight,Economy,3–7 Days,Low
RT414,Sarawak,East Coast,Sea Freight,Standard,2–5 Days,Medium
RT415,Sarawak,East Coast,Sea Freight,Next Day,Next Day,High
RT416,Sarawak,East Coast,Sea Freight,Same Day,Same Day,Highest
RT417,Sarawak,East Coast,Air Cargo,Economy,3–7 Days,Low
RT418,Sarawak,East Coast,Air Cargo,Standard,2–5 Days,Medium
RT419,Sarawak,East Coast,Air Cargo,Next Day,Next Day,High
RT420,Sarawak,East Coast,Air Cargo,Same Day,Same Day,Highest
RT421,Sarawak,Sabah,Motorcycle,Economy,3–7 Days,Low
RT422,Sarawak,Sabah,Motorcycle,Standard,2–5 Days,Medium
RT423,Sarawak,Sabah,Motorcycle,Next Day,Next Day,High
RT424,Sarawak,Sabah,Motorcycle,Same Day,Same Day,Highest
RT425,Sarawak,Sabah,Van,Economy,3–7 Days,Low
RT426,Sarawak,Sabah,Van,Standard,2–5 Days,Medium
RT427,Sarawak,Sabah,Van,Next Day,Next Day,High
RT428,Sarawak,Sabah,Van,Same Day,Same Day,Highest
RT429,Sarawak,Sabah,1-Ton Lorry,Economy,3–7 Days,Low
RT430,Sarawak,Sabah,1-Ton Lorry,Standard,2–5 Days,Medium
RT431,Sarawak,Sabah,1-Ton Lorry,Next Day,Next Day,High
RT432,Sarawak,Sabah,1-Ton Lorry,Same Day,Same Day,Highest
RT433,Sarawak,Sabah,3-Ton Lorry,Economy,3–7 Days,Low
RT434,Sarawak,Sabah,3-Ton Lorry,Standard,2–5 Days,Medium
RT435,Sarawak,Sabah,3-Ton Lorry,Next Day,Next Day,High
RT436,Sarawak,Sabah,3-Ton Lorry,Same Day,Same Day,Highest
RT437,Sarawak,Sabah,Air Cargo,Economy,3–7 Days,Low
RT438,Sarawak,Sabah,Air Cargo,Standard,2–5 Days,Medium
RT439,Sarawak,Sabah,Air Cargo,Next Day,Next Day,High
RT440,Sarawak,Sabah,Air Cargo,Same Day,Same Day,Highest
RT441,Sarawak,Sarawak,Motorcycle,Economy,3–7 Days,Low
RT442,Sarawak,Sarawak,Motorcycle,Standard,2–5 Days,Medium
RT443,Sarawak,Sarawak,Motorcycle,Next Day,Next Day,High
RT444,Sarawak,Sarawak,Motorcycle,Same Day,Same Day,Highest
RT445,Sarawak,Sarawak,Van,Economy,3–7 Days,Low
RT446,Sarawak,Sarawak,Van,Standard,2–5 Days,Medium
RT447,Sarawak,Sarawak,Van,Next Day,Next Day,High
RT448,Sarawak,Sarawak,Van,Same Day,Same Day,Highest
RT449,Sarawak,Sarawak,1-Ton Lorry,Economy,3–7 Days,Low
RT450,Sarawak,Sarawak,1-Ton Lorry,Standard,2–5 Days,Medium
RT451,Sarawak,Sarawak,1-Ton Lorry,Next Day,Next Day,High
RT452,Sarawak,Sarawak,1-Ton Lorry,Same Day,Same Day,Highest
RT453,Sarawak,Sarawak,3-Ton Lorry,Economy,3–7 Days,Low
RT454,Sarawak,Sarawak,3-Ton Lorry,Standard,2–5 Days,Medium
RT455,Sarawak,Sarawak,3-Ton Lorry,Next Day,Next Day,High
RT456,Sarawak,Sarawak,3-Ton Lorry,Same Day,Same Day,Highest
